OBJECTID,Facility_N,Type,Owner,County,Sub_County,Division,Location,Sub_Locati,Constituen,Nearest_To,Latitude,Longitude
5578,Mansa Health Centre,Health Centre,Ministry of Health,Wajir,Tarbaj,Mansa,Mansa,Mansa,WAJIR EAST,Mansa Village,2.31752,40.13304
5579,Mansa Nomadic Clinic,Dispensary,Ministry of Health,Wajir,Tarbaj,Mansa,Mansa,Mansa,WAJIR EAST, ,2.74743,40.20511
5580,Mansabubu Health Centre,Health Centre,Ministry of Health,Garissa,Fafi,Bura,Mansabubu,Mansabubu,FAFI,Mansabubu,-1.20539,40.00203
5581,Mansile Dispensary,Dispensary,Ministry of Health,Marsabit,Moyale,Golbo,Golbo,Mansile,MOYALE,Moyale,3.50034,39.11562
5582,Manthi Healthcare Medical Clinic,Medical Clinic,Private Practice - Clinical Officer,Machakos,Mwala,Masii,Masii,Masii,MWALA,Masii,-1.45998,37.43767
5583,Manunga Health Centre,Health Centre,Ministry of Health,Nyandarua,Kipipiri,Kipipiri,Miharati,Miharati,KIPIPIRI,Miharati,-0.39977,36.49485
5584,Manyala Sub-District Hospital,Sub-District Hospital,Ministry of Health,Kakamega,Butere,Shiatsala,Manyala,Eshihenjera,BUTERE,Shiatsala,0.1604,34.45262
5585,Manyani Dispensary,Dispensary,Ministry of Health,Taita Taveta,Voi,Voi,Tausa,Manyani,VOI,Voi,-3.09496,38.48972
5586,Manyatta (SDA) Dispensary,Dispensary,Christian Health Association of Kenya,Homa Bay,Homa Bay,Rangwe,East Kagan,Kanyaruanda(2),RANGWE,Ndiru,-0.50578,34.61985
5587,Manyatta Clinic,Medical Clinic,Private Practice - Nurse / Midwife,Kakamega,Kakamega East (Shinyalu),Ileho,Kambiri,Bulovi,SHINYALU,Kambiri,0.37182,34.9111
5588,Manyatta Community Medical Clinic,Medical Clinic,Private Practice - Clinical Officer,Kisumu,Kisumu East,Winam,Manyatta B, ,KISUMU TOWN EAST,Kondele,-0.09366,34.78063
5589,Manyatta Dispensary,Dispensary,Ministry of Health,Marsabit,Moyale,Central,Manyatta Burji,Manyatta Burji,SAKU,Moyale,3.51763,39.06587
5590,Manyatta Jillo Health Centre,Health Centre,Ministry of Health,Marsabit,Marsabit,Dirri,Qilta Korma,Qilta,SAKU,Marsabit,2.3584,38.02599
5591,Manyatta Medical Clinic,Medical Clinic,Private Practice - Clinical Officer,Kajiado,Kajiado North,Isinya,Kitengela,Kitengela,KAJIADO NORTH,Kitengela,-1.53448,36.8711
5592,Manyoeni Dispensary,Dispensary,Ministry of Health,Kitui,Kitui Central,Mutito,Kaliku,Manyoeni,MUTITO,Manyoeni Market,-1.21794,38.2993
5593,Manyoror Dispensary,Dispensary,Ministry of Health,Kericho,Kericho,Ainamoi,Kapsaos,Maso,AINAMOI,Kericho,-0.29489,35.33774
5594,Manyuanda Health Centre,Health Centre,Ministry of Health,Kisumu,Seme,Kombewa,South West Seme,East Kadinga,KISUMU RURAL,Manyuanda Market,-0.14141,34.46953
5595,Manyuanda Health Centre (Rarieda),Health Centre,Ministry of Health,Siaya,Rarieda,Madiany,West Uyoma,Uyoma Kokwiri,RARIEDA,Manyuanda,-0.25252,34.27609
5596,Manyuanda St Teresas CFW Clinic (Rarieda),Medical Clinic,Private Enterprise (Institution),Siaya,Rarieda,Madiany,West Uyoma,Nyabera,RARIEDA,Manyuanda,-0.326112,34.276
5597,Manza dispensary,Dispensary,Ministry of Health,Makueni,Makueni,Kithuki,Kitise,Manza,MAKUENI,Manza,-2.0853,37.84878
5598,Maongoa Dispensary,Dispensary,Ministry of Health,Kitui,Mwingi Central,Waita,Waita,Thonoa,MWINGI SOUTH,Maongoa,-0.73978,38.155
5599,Maparasha Dispensary,Dispensary,Ministry of Health,Kajiado,Mashuru,Mashuru,Maparasha,Maparasha,KAJIADO CENTRAL,Namanga,-2.2003,36.91841
5600,Mapengo Dispensary,Dispensary,Ministry of Health,Kakamega,Lugari,Lugari,Lugari,Koromaiti,LUGARI,Lugari,0.64823,34.85997
5601,Mapenya Dispensary,Dispensary,Ministry of Health,Lamu,Lamu West,Mpeketoni,Mapenya,Mapenya,LAMU WEST,Mapenya,-2.21384,40.42532
5602,Mara Serena Dispensary,Dispensary,Private Enterprise (Institution),Narok,Trans Mara West - Dikirr,Lolgorian,Ololerian,Kawai,KILGORIS,Lolgorian,-1.40167,35.02559
5603,Maraa Catholic Dispensary,Dispensary,Kenya Episcopal Conference-Catholic Secretariat,Meru,Imenti South,Abogeta,Nkachie,Nkachie,SOUTH IMENTI,Mitunguu,-0.13784,37.77147
5604,Marachi HealthCare Clinic,Medical Clinic,Private Enterprise (Institution),Busia,Butula,Butula,Marachi East,Elukongo,BUTULA,Ogalo,0.36112,34.40229
5605,Marachi Medical Clinic,Medical Clinic,Private Practice - Nurse / Midwife,Busia,Butula,Marachi,Marachi East, ,BUTULA,Ogalo,0.36099,34.39945
5606,Marafa Health Centre,Health Centre,Ministry of Health,Kilifi,Magarini,Marafa,Marafa,Madina,MAGARINI,Marafa,-3.02853,39.95973
5607,Maragi Dispensary,Dispensary,Community,Murang'a,Kiharu,Kiharu,Mbiri,Maragi,KIHARU,Mukuyu Market,-0.73347,37.1206
5608,Maragi Medical Clinic,Medical Clinic,Private Enterprise (Institution),Murang'a,Kiharu,Kiharu,Mbiri,Maragi,KIHARU,Muranga,-0.731465,37.1306
5609,Maragua (African Christian Churches and Schools) C,Dispensary,Christian Health Association of Kenya,Murang'a,Muranga South,Maragua,Nginda,Gakoigo,MARAGWA,Maragua,-0.776287,37.1274
5610,Maragua Clinic,Medical Clinic,Private Practice - Nurse / Midwife,Murang'a,Muranga South,Maragua,Nginda,Gakoigo,MARAGWA,Maragua,-0.776287,37.1274
5611,Maragua District Hospital,District Hospital,Ministry of Health,Murang'a,Muranga South,Maragua,Nginda,Gakoigo,MARAGWA,Maragua,-0.78914,37.12754
5612,Maragua Ridge Health Centre,Health Centre,Ministry of Health,Murang'a,Muranga South,Maragua,Maragua Ridge,Maragua Ridge,MARAGWA,Mungetho,-0.77765,37.20875
5613,Maraigushu Dispensary,Dispensary,Ministry of Health,Nakuru,Naivasha,Naivasha,Naivasha East,Maraigushu,NAIVASHA,Maraigushu Shopping centre,-0.74156,36.53064
5614,Marakusi Dispensary,Dispensary,Ministry of Health,Kakamega,Lugari,Lugari,Lugari,Marakusi,LUGARI,Makutano,0.69844,34.9523
5615,Maralal Catholic Dispensary,Dispensary,Kenya Episcopal Conference-Catholic Secretariat,Samburu,Samburu Central,Kirisia,Maralal Town,Ng'ari,SAMBURU WEST,Maralal,1.09089,36.70748
5616,Maralal District Hospital,District Hospital,Ministry of Health,Samburu,Samburu Central,Kirisia,Maralal,Maralal,SAMBURU WEST,Maralal Town,1.09773,36.69646
5617,Maralal GK Prison Dispensary,Dispensary,Ministry of Health,Samburu,Samburu Central,Kirisia,Maralal,Milimani,SAMBURU WEST,Maralal,1.09451,36.69204
5618,Maralal Medical Clinic,Medical Clinic,Private Practice - Clinical Officer,Samburu,Samburu Central,Kirisia,Maralal,Maralal,SAMBURU WEST,Maralal Town,1.09466,36.70213
5619,Maram Dispensary,Dispensary,Ministry of Health,Homa Bay,Ndhiwa,Riana,Central Kabuoch,Konyango,NDHIWA,Maram,-0.67527,34.5468
5620,Maramara Dispensary,Dispensary,Private Enterprise (Institution),Bomet,Konoin,Kimulot,Maramara,Maramara,KONOIN,Maramara,-0.489245,35.225547
5621,Marambach Mc,Medical Clinic,Private Practice - Nurse / Midwife,Trans Nzoia,Trans Nzoia West,Saboti,Kinyoro,Kitalale,SABOTI,Kitale,1.0039,34.91665
5622,Maranatha Medical Services,Medical Clinic,Private Practice - General Practitioner,Nairobi,Kibra,Kibra,Kibra,Lindi,KIBRA, ,-1.31286,36.78947
5623,Marani District Hospital,District Hospital,Ministry of Health,Kisii,Marani,Marani,Mwagichana,Igemo,KITUTU CHACHE,Marani Mkt,-0.57824,34.79825
5624,Maranjau Dispensary,Dispensary,Ministry of Health,Murang'a,Muranga South,Makuyu,Kamahuha,Kamahuha,MARAGWA,Kamahuha,-0.80195,37.22395
5625,Mararianta Dispensary,Dispensary,Other Faith Based,Narok,Narok South,Mara,Aitong,Mararinta,NAROK SOUTH,Mararianta Market,-1.23758,35.12215
5626,Marble Clinic,Medical Clinic,Private Enterprise (Institution),Meru,Imenti North,Miriga Mieru West, , ,NORTH IMENTI,Meru,0.0475,37.65477
5627,Marble Medical Laboratory,Medical Clinic,Private Enterprise (Institution),Meru,Imenti North,Miriga Mieru West, , ,NORTH IMENTI,Meru,0.0475,37.65477
5628,March Medicare,Medical Clinic,Private Practice - Nurse / Midwife,Kakamega,Likuyani,Likuyani,Nzoia,Matunda,LUGARI,Moisbridge,0.830195,35.090338
5629,Marenyo Health Centre,Health Centre,Ministry of Health,Siaya,Gem,Yala,Yala Township,Marenyo,GEM,Yala Market,0.07641,34.55194
5630,Marereni Dispensary,Dispensary,Ministry of Health,Kilifi,Magarini,Magarini,Fundi Issa,Marereni,MAGARINI,Malindi,-2.86296,40.14481
5631,Marereni Medical Clinic,Medical Clinic,Private Practice - Clinical Officer,Kilifi,Magarini,Magarini,Fundi Issa,Marereni,MAGARINI,Marereni,-2.86353,40.14839
5632,Maria Dominica Dispensary,Dispensary,Kenya Episcopal Conference-Catholic Secretariat,Nairobi,Langata,Lang'ata,Karen,Karen,LANG'ATA,Hardy shopping center,-1.35882,36.72276
5633,Maria Immaculate Health Centre,Health Centre,Kenya Episcopal Conference-Catholic Secretariat,Nairobi,Dagoretti North,Kileleshwa,Lavington, ,DAGORETTI NORTH,Nairobi,-1.289677,36.764926
5634,Maria Maternity and Nursing Home,Maternity Home,Private Practice - General Practitioner,Nairobi,Embakasi Central,Embakasi,Kayole,Kayole,EMBAKASI CENTRAL,Nairobi,-1.26843,36.9211
5635,Maria Medical Clinic And Diadetic centre(Saika),Medical Clinic,Private Practice - General Practitioner,Nairobi,Kasarani,Njiru,Njiru,Saika,KASARANI,Njiru centre,-1.26319,36.92525
5636,Maria Salus Infirmorum Dispensary,Dispensary,Community,Makueni,Mukaa,Kilome,Kitaingo,Kiongwani,KILOME,Kiongwani market,-1.90648,37.29757
5637,Maria Teressa Nuzzo Health Centre,Health Centre,Kenya Episcopal Conference-Catholic Secretariat,Lamu,Lamu West,Mpeketoni,Baharini,Baharini,LAMU WEST,Baharini,-2.4288,40.72228
5638,Mariaini Dispensary,Dispensary,Ministry of Health,Murang'a,Kandara,Kandara,Gaichanjiru,Mariaini,KANDARA,"Kenol town,Karugia Market",-0.88466,37.09043
5639,Mariakani Community Health Care Services,Medical Clinic,Private Practice - Nurse / Midwife,Kilifi,Kaloleni,Mariakani,Mariakani,Mitangoni,KALOLENI,Mariakani,-3.85987,39.47604
5640,Mariakani Cottage Clinic,Medical Clinic,Private Enterprise (Institution),Machakos,Machakos,mlolongo,mlolongo,mlolongo,KATHIANI,femiplex house,-1.38964,36.94073
5641,Mariakani Cottage Hospital Ltd,Nursing Home,Private Enterprise (Institution),Nairobi,Starehe,South B,Nairobi South,Nairobi South,STAREHE,South B Shopping Centre,-1.28324,36.87
5642,Mariakani Cottage Hospital Ongatta Rongai,Other Hospital,Private Enterprise (Institution),Kajiado,Kajiado North,Ongatta Rongai,Ongatta Rongai,Ngaimurunya,KAJIADO NORTH,Ongatta Rongai,-1.39688,36.75833
5643,Mariakani Cottage Hospital Utawala Clinic,Medical Clinic,Private Practice - Medical Specialist,Nairobi,Embakasi East,Embakasi,Utawala,Utawala,EMBAKASI EAST,Utawala,-1.28861,36.9716
5644,Mariakani District Hospital,District Hospital,Ministry of Health,Kilifi,Kaloleni,Mariakani,Mariakani,Mitangoni,KALOLENI,Mariakani,-3.8631,39.47214
5645,Marich Dispensary,Dispensary,Other Faith Based,West Pokot,Pokot Central,Sigor,Sekerr,Takar,SIGOR,Sigor,1.53183,35.45165
5646,Maridadi RCEA Medical Centre,Dispensary,Other Faith Based,Trans Nzoia,Kwanza,Kwanza,Kwanza,Kwanza,KWANZA,Kitale,1.07162,35.00719
5647,Marie Stopes ( Nakuru),Dispensary,Non-Governmental Organizations,Nakuru,Nakuru,Municipality,Central,Viwanda,NAKURU TOWN,Nakuru Town,-0.28523,36.07365
5648,Marie Stopes (Naivasha),Medical Clinic,Non-Governmental Organizations,Nakuru,Naivasha,Naivasha,Sokoni,Lakeview,NAIVASHA,Naivasha town,-0.71889,36.43527
5649,Marie Stopes Centre Embu,Medical Clinic,Non-Governmental Organizations,Embu,Manyatta,Central,Municipality,Municipality,MANYATTA,Embu,-0.53442,37.45079
5650,Marie Stopes Clinic (Dagoretti),Dispensary,Non-Governmental Organizations,Nairobi,Kibra,Dagoretti,Golfcourse, ,KIBRA,Nairobi,-1.29834,36.813
5651,Marie Stopes Clinic (Imenti North),Dispensary,Non-Governmental Organizations,Meru,Imenti North,Miriga Mieru West,Ntima,Tuntu,NORTH IMENTI,Meru,0.05616,37.64059
5652,Marie Stopes Clinic (Kencom),Dispensary,Non-Governmental Organizations,Nairobi,Starehe,Central,Central Business District, ,STAREHE,Nairobi,-1.2852,36.821
5653,Marie Stopes Clinic (Kilimani),Dispensary,Non-Governmental Organizations,Nairobi,Dagoretti North,Kilimani,Kilimani, ,DAGORETTI NORTH,Nairobi,-1.26584,36.7511
5654,Marie Stopes Clinic (Kisii),Dispensary,Non-Governmental Organizations,Kisii,Kisii Central,Municipality,Township,Township,KITUTU CHACHE,Kisii Municipal Mkt,-0.67213,34.77065
5655,Marie Stopes Clinic (Kongowea),Medical Clinic,Non-Governmental Organizations,Mombasa,Kisauni,Kisauni,Kongowea,Kongowea,KISAUNI,Mombasa,-4.04624,39.6941
5656,Marie Stopes Clinic (Langata),Medical Clinic,Non-Governmental Organizations,Nairobi,Kibra,Kibra,Makina, ,KIBRA,Nairobi,-1.30785,36.7892
5657,Marie Stopes Clinic (Migori),Dispensary,Non-Governmental Organizations,Migori,Migori,Suba East,Central Suna,Wasweta 1,MIGORI,Migori,-1.06808,34.4829
5658,Marie Stopes Clinic (Pangani),Medical Clinic,Non-Governmental Organizations,Nairobi,Starehe,Kariokor,Pangani,Pangani,STAREHE,Nairobi,-1.26971,36.83903
5659,Marie Stopes Clinic (Trans Nzoia West),Dispensary,Non-Governmental Organizations,Trans Nzoia,Trans Nzoia West,Central,Matisi,Tuwani,SABOTI,Kitale,1.02368,34.99891
5660,Marie Stopes Clinic (Vihiga),Medical Clinic,Non-Governmental Organizations,Vihiga,Sabatia,Chavakali,Idzava,Mbale,SABATIA,Mbale,0.092417,34.7286
5661,Marie Stopes Health Centre (Eldoret West),Health Centre,Non-Governmental Organizations,Uasin Gishu,Eldoret West,Turbo,Kapyemit,Kapyemit,ELDORET NORTH,Eldoret,0.52008,35.26744
5662,Marie Stopes Health Centre (Kericho),Health Centre,Non-Governmental Organizations,Kericho,Kericho,Ainamoi,Township,Township,AINAMOI,Kericho,-0.36461,35.26359
5663,Marie Stopes Kenya Bungoma Centre,Medical Clinic,Non-Governmental Organizations,Bungoma,Bungoma South,Kanduyi,Township,Township,KANDUYI,Bungoma Town,0.56127,34.55977
5664,Marie Stopes Kenya Bungoma Centre,Medical Clinic,Non-Governmental Organizations,Busia,Busia,Busia Municipality,Township,Mjini,NAMBALE,Busia Town,0.46407,34.10305
5665,Marie Stopes Kenya Clinic (Malindi),Medical Clinic,Private Enterprise (Institution),Kilifi,Malindi,Malindi,Malindi,Barani,MALINDI,Malindi,-3.21487,40.1178
5666,Marie Stopes Kenya Mld Clinic,Medical Clinic,Private Practice - General Practitioner,Kilifi,Malindi,Malindi,Malindi,Barani,MALINDI,Shella,-3.12891,40.07071
5667,Marie Stopes Mombasa Nursing Home,Nursing Home,Private Practice - General Practitioner,Mombasa,Mvita,Island,Ganjoni,Ganjoni,MVITA,Mombasa,-4.06057,39.66324
5668,Marie Stopes Nursing Home (Eastleigh),Nursing Home,Non-Governmental Organizations,Nairobi,Kamukunji,Eastleigh North,Eastleigh Section I, ,KAMUKUNJI,Nairobi,-1.26972,36.84824
5669,Marie Stopes Nursing Home (Kisumu),Nursing Home,Non-Governmental Organizations,Kisumu,Kisumu East,Winam,Manyatta B,Kondelle,KISUMU TOWN EAST,Kisumu,-0.0878,34.77025
5670,Marie Stopes Nursing Home (Muranga),Nursing Home,Non-Governmental Organizations,Murang'a,Kiharu,Kiharu,Mbiri,Maragi,KIHARU,Muranga,-0.731465,37.1306
5671,Mariestopes,Medical Clinic,Private Practice - General Practitioner,Kiambu,Thika West, , , ,JUJA, ,-1.03576,37.07519
5672,Marigat Catholic Mission,Dispensary,Kenya Episcopal Conference-Catholic Secretariat,Baringo,Marigat,Marigat,Marigat,Marigat,BARINGO CENTRAL,Marigat,0.468,35.98309
5673,Marigat Sub District Hospital,Sub-District Hospital,Ministry of Health,Baringo,Marigat,Marigat,Marigat,Yatoi,BARINGO CENTRAL,Marigat,0.47083,35.98265
5674,Marigo Dispensary,Dispensary,Ministry of Health,Bungoma,Cheptais,Cheptais,Sasuri,Sasuri,MT. ELGON,Cheptais,0.82115,34.4782
5675,Mariine Maternity Home,Maternity Home,Private Enterprise (Institution),Nyeri,Nyeri Central,Municipality,Mukaro,Muruguru,NYERI TOWN,Muruguru,-0.45814,37.03526
5676,Mariira Catholic Dispensary,Dispensary,Kenya Episcopal Conference-Catholic Secretariat,Murang'a,Kigumo,Kigumo,Kigumo,Iriguini,KIGUMO,Githima,-0.79819,36.93235
5677,Marikebuni Dispensary,Dispensary,Ministry of Health,Kilifi,Magarini,Magarini,Magarini,Marikebuni,MAGARINI,Malindi,-3.09017,40.00028
5678,Marimanti Med Clinic,Medical Clinic,Private Practice - Nurse / Midwife,Tharaka Nithi,Tharaka South,Tharaka Central,Marimanti,Kamatungu,THARAKA,Marimanti Town,-0.1568,37.9785
5679,Marina Medical Clinic,Medical Clinic,Private Practice - Nurse / Midwife,Nyeri,Kieni West,Gataragwa,Mugunda,Nairutia,KIENI,Nairutia town,-0.08688,36.4277
5680,Marindi Sub county Hospital,District Hospital,Ministry of Health,Homa Bay,Homa Bay,Asego,West-Kanyada,Katuma(1),RANGWE,Rodi Kopany,-0.65262,34.52024
5681,Maringo Clinic,Dispensary,Local Authority,Nairobi,Makadara,Makadara,Maringo,Maringo,MAKADARA,Maringo Shopping Centre,-1.28351,36.88002
5682,Marinyin Dispensary,Dispensary,Private Enterprise (Institution),Kericho,Belgut,Belgut,Chaik,Chemogondany,BELGUT,Kericho,-0.43195,35.29576
5683,Marioshoni Dispensary,Dispensary,Ministry of Health,Nakuru,Molo,Elburgon,Marioshoni,Kitiro,MOLO,Elburgon,-0.41212,35.90215
5684,Marist International University College Medical Clinic,Medical Clinic,Kenya Episcopal Conference-Catholic Secretariat,Nairobi,Langata,Lang'ata,Langata,Langata,LANG'ATA,Karen shopping centre,-1.34268,36.72812
5685,Maritati Dispensary,Dispensary,Ministry of Health,Meru,Buuri,Timau,Ngusishi,Ngusishi,NORTH IMENTI,maritati market,0.08578,37.32601
5686,Mariwa Dispensary (Kipkelion),Dispensary,Ministry of Health,Kericho,Kipkelion,Kunyak,Kunyak,Chemogoch,KIPKELION,Muhoroni,-0.14097,35.34007
5687,Mariwa Health Centre,Health Centre,Ministry of Health,Migori,Awendo,Awendo,South Sakwa,Alego Central,RONGO,Mariwa,-0.9721,34.5744
5688,Market Medical Clinic,Medical Clinic,Private Practice - Nurse / Midwife,Kajiado,Loitoktok,Kimana,Kimana,Kimana,KAJIADO SOUTH,Kimana Market,-2.80058,37.53643
5689,Maron Dispensary,Dispensary,Ministry of Health,Baringo,East Pokot,Nginyang,Ribkwo,Ribkwo,BARINGO EAST,Chemolingot,0.12867,35.89593
5690,Maron-Marichor Dispensary,Dispensary,Ministry of Health,Elgeyo Marakwet,Marakwet East,Tirap,Embobut,Maron,MARAKWET EAST,Kapsowar,1.2243,35.58004
5691,Marps -Chuka Dice Clinic,Medical Clinic,Non-Governmental Organizations,Tharaka Nithi,Meru South,Chuka,Kiang`ondu,Kiang`ondu,CHUKA IGAMBANGOMBE,Chuka,-0.33328,37.64441
5692,Marps Clinic (Meru),Medical Clinic,Other Public Institution,Meru,Imenti North,Mirigamieru West,Municipality,Township,NORTH IMENTI,Meru Town,0.05059,37.65328
5693,Marps Drop In Medical Centre,Medical Clinic,Non-Governmental Organizations,Narok,Narok North,central,Lower Melili,Town,NAROK NORTH,Narok town,-1.09118,35.87267
5694,Marre Dispensary,Dispensary,Ministry of Health,Garissa,Hulugho,Sangailu,Sangailu,Sangailu,IJARA,Sangailu,-1.27338,41.3388
5695,Mars Associate Medical Centre,Health Centre,Private Enterprise (Institution),Kajiado,Kajiado North,Ngong,Rongai,Kiserian,KAJIADO NORTH,Kiserian,-1.42619,36.69263
5696,Mars Medical Clinic,Medical Clinic,Private Practice - Nurse / Midwife,Makueni,Kilungu,Kilungu,Kilungu,Nduu,KAITI,Nunguni,-1.78699,37.36256
5697,Marsabit County Beyond Zero Mobile Clinic,Medical Clinic,Ministry of Health,Marsabit,Marsabit,Central,Central,Township,SAKU,Marsabit market,2.32343,37.98969
5698,Marsabit District Hospital,District Hospital,Ministry of Health,Marsabit,Marsabit,Central,Mountain,Township,SAKU,Marsabit,2.32392,37.99097
5699,Marsabit Medical Clinic,Medical Clinic,Private Practice - Nurse / Midwife,Marsabit,Marsabit,Central,Mountain,Township,SAKU,Marsabit,2.33203,37.99083
5700,Marsabit Modern Medical Clinic,Medical Clinic,Private Practice - Nurse / Midwife,Marsabit,Marsabit,Central,Mountain,Township,SAKU,Marsabit,2.33179,37.99035
5701,Marti  Elepareu  Dispensary,Dispensary,Ministry of Health,Samburu,Samburu East,Waso,Ndonyo Wasin,Ndonyo Wasin,SAMBURU EAST,Ndonyo Wasin,1.5816,37.2664
5702,Marti Dispensary,Dispensary,Ministry of Health,Samburu,Samburu North,Baragoi,Marti,Kelele,SAMBURU WEST,Marti,1.54775,36.7446
5703,Martmerg Medical Clinic,Medical Clinic,Private Practice - Nurse / Midwife,Kiambu,Ruiru,Githurai,Githurai,Kahawasukari,JUJA,Githurai 45,-1.18953,36.93209
5704,Maru A Pula Medical Clinic,Medical Clinic,Private Practice - Nurse / Midwife,Nyeri,Mathira East,Konyu,Karatina,Karatina,MATHIRA,Karatina,-0.4809,37.12344
5705,Marua Dispensary,Dispensary,Ministry of Health,Nyeri,Nyeri Central,Municipality,Muruguru,Marua,NYERI TOWN,Marua,-0.45493,37.04515
5706,Marua Medical Clinic,Medical Clinic,Private Practice - Nurse / Midwife,Nyeri,Nyeri Central,Municipality,Mukaro,Marua,NYERI TOWN,Marua,-0.45345,37.04541
5707,Marugi Medical Clinic,Medical Clinic,Private Practice - Clinical Officer,Kiambu,Ruiru,Kalimoni,Kalimoni,Muchatha,JUJA,Juja Township,-1.10524,37.01798
5708,Marungu Health Centre,Health Centre,Ministry of Health,Taita Taveta,Voi,Voi,Maungu,Marungu,VOI,Voi,-3.61121,38.7293
5709,Marura Dispensary,Dispensary,Ministry of Health,Laikipia,Laikipia Central,Central,Marura,Marura,LAIKIPIA EAST,Nanyuki,-0.00452,36.94614
5710,Marura Medical Centre-Eldoret,Health Centre,Private Practice - Nurse / Midwife,Uasin Gishu,Eldoret East,Moiben,Kimumu,Chepkoiliel,ELDORET EAST,Eldoret,0.55439,35.31907
5711,Marura Nursing Home,Nursing Home,Private Enterprise (Institution),Nairobi,Ruaraka,Kasarani,Ruaraka,utalii,RUARAKA,mathare  area 4,-1.24875,36.871
5712,Marura Nursing Home (Ruiru),Medical Clinic,Private Practice - Clinical Officer,Kiambu,Ruiru,Githurai,Githurai,Kiuu,JUJA,Githurai 45,-1.20826,36.92292
5713,Marura Nursing Home Kiambu Medical Clinic,Nursing Home,Private Practice - Clinical Officer,Kiambu,Kiambu,Kiambaa,Kiambaa,Kiambaa,KIAMBAA,Kiambu,-1.16676,36.82511
5714,Marurui Dispensary,Dispensary,Private Enterprise (Institution),Nairobi,Roysambu,Kasarani,Githurai, ,ROYSAMBU,Nairobi,-1.20244,36.9038
5715,Mary Finch Dispensary,Dispensary,Other Faith Based,Kericho,Londiani,Londiani,Londiani,Chepkonyong,SOTIK (PART),Londiani,-0.1658,35.58459
5716,Mary Goretti Health Services,Medical Clinic,Private Enterprise (Institution),Machakos,Athi River,Athi River,Katani,Syokimau,KATHIANI,Mlolongo,-1.36434,36.9351
5717,Mary Help Mission Medical Centre,Medical Clinic,Private Practice - Clinical Officer,Kiambu,Gatundu North,Mangu,Kamwangi,Kamnwangi,GATUNDU NORTH,Kamwangi,-0.95761,36.9015
5718,Mary Help of The Sick Hospital,Other Hospital,Kenya Episcopal Conference-Catholic Secretariat,Kiambu,Thika West,Thika West,Biashara,Majengo,JUJA,Thika Town,-0.95761,36.9015
5719,Mary Hill Medical Clinic,Medical Clinic,Private Practice - Clinical Officer,Laikipia,Nyahururu,Municipality,Nyahururu,Nyahururu,LAIKIPIA WEST,Nyahururu,0.03854,36.36336
5720,Mary Immaculate Clinic Mukuru,Medical Clinic,Other Faith Based,Nairobi,Starehe,South B,Mukuru Nyayo,Nairobi South,STAREHE,South B Shopping Centre,-1.3662,36.83306
5721,Mary Immaculate Cottage Hospital (Mombasa),Nursing Home,Other Faith Based,Mombasa,Mvita,Island,Majengo,Majengo,MVITA,Mombasa,-4.0461,39.66333
5722,Mary Immaculate Dispensary (Eldoret East),Dispensary,Kenya Episcopal Conference-Catholic Secretariat,Uasin Gishu,Eldoret East,Ainapkoi,Kaptagat,Kaptagat,ELDORET EAST,Eldoret,0.43334,35.46053
5723,Mary Immaculate Dispensary (Laikipia East),Dispensary,Kenya Episcopal Conference-Catholic Secretariat,Laikipia,Laikipia East,Central,Nturukuma,Likii,LAIKIPIA EAST,Nanyuki,0.01976,37.08418
5724,Mary Immaculate Hospital (Nyeri North),Other Hospital,Kenya Episcopal Conference-Catholic Secretariat,Nyeri,Kieni West,Kieni West,Mweiga,Kamatongu,KIENI,Mweiga,-0.33011,36.90514
5725,Mary Immaculate Sisters Dispensary,Dispensary,Other Faith Based,Nairobi,Makadara,Bahati,Bahati, ,MAKADARA,"Nairobi,near uhuru market",-1.29206,36.8574
5726,Mary Mission,Health Centre,Private Enterprise (Institution),Nairobi,Dagoretti South,Riruta,Wanyee Road, ,DAGORETTI SOUTH,Corner Market,-1.2968,36.74939
5727,Maryango Medical Clinic,Medical Clinic,Private Enterprise (Institution),Kilifi,Ganze,Bamba,Bamba,Paziani,GANZE,Bamba Town,-3.47943,39.52339
5728,Marynoll Dispensary,Dispensary,Other Faith Based,Tana River,Bura,Bura,Bura,Bura,BURA,Bura,-1.1,39.92
5729,Masa Medical Clinic (Kirinyaga),Medical Clinic,Private Enterprise (Institution),Kirinyaga,Kirinyaga West,Ndia,Kiini South,Gacharu,NDIA, ,-0.620559,37.2125
5730,Masa Medical Clinic (Nyeri North),Medical Clinic,Private Practice - Clinical Officer,Nyeri,Mathira East,Mathira,Karatina,Karatina,MATHIRA,Karatina,-0.48265,37.12464
5731,masaani dispensary,Dispensary,Ministry of Health,Kitui,Lower Yatta,yatta-kwavonza,Mikuyuni,Mikuyuni,KITUI WEST,masaani market,-1.25702,37.4977
5732,Masaba Dispensary,Dispensary,Other Faith Based,Kakamega,Butere,Shiatsala,Marama South,Shibembe,BUTERE,Shiatsala,0.19358,34.46411
5733,Masaba District Hospital,District Hospital,Ministry of Health,Nyamira,North Masaba,Rigoma,Keroka,Bocharia,NORTH MUGIRANGO,Township,-0.763271,34.9482
5734,Masaba Health Centre,Health Centre,Ministry of Health,Migori,Kuria West,Masaba,Bugumbe North,Masaba,KURIA,Masaba,-1.11711,34.53263
